date_num	date	a	b	close	d	e	f	g	h	i
2004,983643	25-Dec-2004	481383	347023.19	2.82	85.87	-0.88	6.11	86.20	2.42	1.11
2005,010742	3-Jan-2005	485027	349760.81	-4.05	87.15	-1.55	-0.74	87.18	1.75	1.21
2005,037964	13-Jan-2005	476557	343531.41	-5.01	86.45	-2.06	-1.72	86.42	1.25	1.38
2005,065064	23-Jan-2005	478441	342994.31	-1.95	86.25	-2.21	1.39	86.14	1.11	1.80
2005,092285	2-Feb-2005	481041	346597.41	-1.76	85.16	-2.04	1.56	84.93	1.29	2.41
2005,119385	12-Feb-2005	471260	339456.41	-1.52	86.30	-1.73	1.82	86.07	1.60	3.04
2005,146606	22-Feb-2005	466589	335766.41	-2.73	87.43	-1.52	0.62	87.07	1.82	3.51
2005,173706	4-Mar-2005	477433	343647.00	1.50	90.65	-1.57	4.85	90.33	1.78	3.67
2005,200928	14-Mar-2005	477077	342722.09	0.28	90.26	-1.92	3.62	89.99	1.44	3.51
2005,228027	24-Mar-2005	468729	337142.69	-5.77	86.63	-2.45	-2.40	86.29	0.93	3.20
2005,255249	3-Apr-2005	481943	347386.81	-4.19	84.23	-2.97	-0.81	83.83	0.42	2.93
2005,282349	13-Apr-2005	476192	342524.91	-0.23	84.53	-3.40	3.19	84.14	-0.00	2.79
2005,30957	22-Apr-2005	477959	342987.31	-5.28	85.94	-3.76	-1.83	85.64	-0.35	2.76
2005,336792	2-May-2005	479677	345465.19	-4.92	86.10	-4.04	-1.53	85.82	-0.62	2.82
2005,363892	12-May-2005	478506	344220.19	-4.22	85.72	-4.21	-0.80	85.25	-0.80	2.95
2005,391113	22-May-2005	474052	341612.00	-3.70	84.87	-4.27	-0.29	84.44	-0.86	3.14
2005,418213	1-Jun-2005	481976	348030.81	-4.80	83.79	-4.22	-1.38	83.64	-0.79	3.35
2005,445435	11-Jun-2005	481595	348749.41	-4.89	83.48	-4.02	-1.46	83.37	-0.59	3.54
2005,472534	21-Jun-2005	476251	345875.09	-3.54	82.53	-3.67	-0.10	82.48	-0.24	3.68
2005,499756	1-Jul-2005	473700	345290.31	-4.34	83.68	-3.18	-0.91	83.62	0.26	3.77
2005,526856	11-Jul-2005	467736	341787.41	-0.76	82.53	-2.62	2.67	82.90	0.82	3.70
2005,554077	21-Jul-2005	468959	343816.69	-2.99	83.14	-2.01	0.46	83.35	1.43	3.47
2005,581177	31-Jul-2005	453997	333915.00	-1.87	83.07	-1.29	1.57	83.38	2.15	3.19
2005,608398	10-Aug-2005	463312	341762.31	-0.78	82.60	-0.36	2.66	83.05	3.09	3.01
2005,63562	20-Aug-2005	457717	337768.41	-0.15	83.14	0.82	3.28	83.67	4.28	3.03
2005,66272	29-Aug-2005	460882	340184.09	1.51	84.01	2.18	4.96	84.53	5.65	3.25
2005,689941	8-Sep-2005	461748	340801.81	4.44	86.09	3.51	7.92	86.73	6.98	3.52
2005,717041	18-Sep-2005	267180	197489.59	6.87	92.95	4.55	10.37	93.63	8.03	3.68
2005,744263	28-Sep-2005	288616	213977.00	6.33	84.87	5.17	9.87	85.80	8.66	3.64
2005,771362	8-Oct-2005	459566	338683.91	5.62	84.06	5.49	9.09	84.72	8.98	3.55
2005,798584	18-Oct-2005	463732	340695.31	3.71	84.18	5.74	7.20	84.68	9.23	3.67
2005,825684	28-Oct-2005	462887	340537.31	5.08	86.64	6.09	8.56	87.21	9.58	4.15
2005,852905	7-Nov-2005	466555	342099.59	8.01	87.90	6.43	11.48	88.57	9.94	4.90
2005,880005	17-Nov-2005	465250	339754.00	8.30	86.87	6.53	11.83	87.35	10.05	5.61
2005,907227	27-Nov-2005	472885	343508.91	7.51	84.44	6.17	11.08	84.90	9.72	6.02
2005,934448	7-Dec-2005	478930	346964.69	5.41	83.59	5.33	8.97	84.00	8.89	6.03
2005,961548	16-Dec-2005	480010	345996.81	4.63	84.65	4.10	8.20	84.76	7.66	5.67
2005,98877	26-Dec-2005	476881	343064.41	4.02	84.95	2.64	7.61	84.95	6.22	5.06
2006,015869	5-Jan-2006	481582	346973.19	-0.22	82.73	1.18	3.36	82.55	4.76	4.36
2006,043091	15-Jan-2006	483074	348394.69	-1.89	83.27	-0.06	1.68	83.10	3.53	3.78
2006,07019	25-Jan-2006	482020	347444.69	-1.37	84.98	-0.94	2.22	84.71	2.65	3.43
2006,097412	4-Feb-2006	479350	344873.09	-1.55	85.90	-1.47	2.07	85.62	2.14	3.33
2006,124512	14-Feb-2006	476331	343208.09	-2.85	85.76	-1.75	0.75	85.25	1.86	3.36
2006,151733	24-Feb-2006	477682	343441.59	-1.52	87.76	-1.98	2.09	87.23	1.66	3.39
2006,178833	6-Mar-2006	477787	343855.91	0.36	87.94	-2.25	4.02	87.41	1.40	3.32
2006,206055	16-Mar-2006	481001	346265.00	-5.19	89.35	-2.59	-1.51	88.74	1.07	3.18
2006,233276	26-Mar-2006	481869	346964.91	-2.70	89.19	-2.96	0.97	88.56	0.71	3.02
2006,260376	5-Apr-2006	478745	345124.69	-2.49	86.41	-3.32	1.19	85.87	0.36	2.92
2006,287598	14-Apr-2006	474526	340996.31	-3.51	87.00	-3.62	0.18	86.36	0.07	2.92
2006,314697	24-Apr-2006	474075	340879.19	-4.98	86.64	-3.77	-1.27	86.09	-0.08	3.09
2006,341919	4-May-2006	475375	342129.81	-5.34	84.69	-3.73	-1.65	84.27	-0.03	3.47
2006,369019	14-May-2006	476287	342856.69	-3.02	83.91	-3.50	0.65	83.63	0.20	4.01
2006,39624	24-May-2006	474218	342123.41	-1.47	83.90	-3.16	2.26	83.81	0.54	4.58
2006,42334	3-Jun-2006	472424	341223.09	-3.99	83.79	-2.74	-0.31	83.57	0.95	5.10
2006,450562	13-Jun-2006	477483	345070.91	-3.37	83.98	-2.19	0.33	83.83	1.51	5.61
2006,477661	23-Jun-2006	476229	344362.81	-2.33	82.24	-1.45	1.38	82.32	2.25	6.11
2006,504883	3-Jul-2006	468973	340539.59	0.20	81.95	-0.62	3.89	82.21	3.07	6.47
2006,532105	13-Jul-2006	474990	346833.09	1.71	82.59	0.11	5.39	82.82	3.80	6.53
2006,559204	23-Jul-2006	466158	342934.09	0.90	81.89	0.69	4.57	82.31	4.38	6.24
2006,586426	2-Aug-2006	467641	343127.19	1.27	83.30	1.26	4.96	83.73	4.95	5.78
2006,613525	11-Aug-2006	466053	343187.00	-0.92	86.05	2.09	2.76	86.41	5.78	5.48
2006,640747	21-Aug-2006	461079	340310.19	1.77	86.17	3.33	5.47	86.75	7.03	5.55
2006,667847	31-Aug-2006	457922	337688.69	5.40	89.09	4.83	9.13	89.90	8.54	5.93
2006,695068	10-Sep-2006	458823	339475.41	8.17	88.49	6.24	11.88	89.37	9.95	6.31
2006,722168	20-Sep-2006	448801	332846.81	10.45	89.18	7.25	14.16	90.14	10.97	6.48
2006,74939	30-Sep-2006	460704	339878.69	6.71	89.11	7.85	10.46	90.08	11.57	6.45
