museo	nazione	licenza	tipo	anno	nopere
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-nc-nd/3.0/	IMAGE	2015	7
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-nd/3.0/	VIDEO	2015	3
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-nc/3.0/	VIDEO	2015	9
Digitalt fortalt / Norsk kulturråd	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2014	59
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-nc-nd/3.0/	IMAGE	2014	4
Digitalt fortalt / Norsk kulturråd	norway	http://www.europeana.eu/rights/rr-f/	SOUND	2014	21
Digitalt fortalt / Norsk kulturråd	norway	http://www.europeana.eu/rights/rr-f/	SOUND	2013	56
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-sa/3.0/	SOUND	2014	19
Digitalt fortalt / Norsk kulturråd	norway	http://www.europeana.eu/rights/rr-f/	TEXT	2014	24
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by/3.0/	SOUND	2014	9
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-nc-nd/3.0/	SOUND	2014	1
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by/3.0/	SOUND	2013	1
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-sa/3.0/	VIDEO	2013	2
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by/3.0/	TEXT	2014	5
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by/3.0/	IMAGE	2013	10
Digitalt fortalt / Norsk kulturråd	norway	http://www.europeana.eu/rights/rr-f/	TEXT	2015	7
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-sa/3.0/	VIDEO	2014	8
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by/3.0/	IMAGE	2014	26
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by/3.0/	TEXT	2015	5
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-nd/3.0/	IMAGE	2015	2
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-nc-sa/3.0/	VIDEO	2015	1
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by/3.0/	VIDEO	2015	2
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by/3.0/	VIDEO	2014	2
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-nc/3.0/	IMAGE	2014	3
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2014	2
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-nd/3.0/	TEXT	2014	1
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-nc-sa/3.0/	IMAGE	2014	2
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-nd/3.0/	IMAGE	2014	1
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-nc-nd/3.0/	TEXT	2014	10
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-nd/3.0/	VIDEO	2013	1
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-nd/3.0/	IMAGE	2013	1
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-nc/3.0/	IMAGE	2013	2
Digitalt fortalt / Norsk kulturråd	norway	http://www.europeana.eu/rights/rr-f/	TEXT	2013	7
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-nc-nd/3.0/	TEXT	2013	1
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-nc-nd/3.0/	IMAGE	2013	4
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-nc-sa/3.0/	IMAGE	2013	1
Digitalt fortalt / Norsk kulturråd	norway	http://creativecommons.org/licenses/by-nc/3.0/	VIDEO	2013	1
Canadiana.org (archive.org)	europe	http://www.europeana.eu/rights/rr-f/	TEXT	2015	1650
Universitätsbibliothek Bielefeld; Germany	germany	http://creativecommons.org/publicdomain/mark/1.0/	TEXT	2015	1634
Ortsmuseum Lausen	switzerland	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	1355
Ortsmuseum Lausen	switzerland	http://creativecommons.org/licenses/by-nc-sa/4.0/	IMAGE	2015	263
Ortsmuseum Lausen	switzerland	http://creativecommons.org/publicdomain/zero/1.0/	IMAGE	2015	4
Norsk Jernbanemuseums fotosamling	norway	http://www.europeana.eu/rights/rr-f/	TEXT	2015	1601
Norsk Jernbanemuseums fotosamling	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	13
Norsk Jernbanemuseums fotosamling	norway	http://www.europeana.eu/rights/rr-f/	TEXT	2016	1
